go_term	description	secretome_genes	non_secretome_genes	prob of combination	expected	population	Bonferonni corrected p-value
GO:0032266	phosphatidylinositol-3-phosphate binding	0	1	0	0.935849	1	161.5579049
GO:0004647	phosphoserine phosphatase activity	0	1	0	0.935849	1	161.5579049
GO:0000417	HIR complex	0	1	0	0.935849	1	161.5579049
GO:0004312	fatty acid synthase activity	0	1	0	0.935849	1	161.5579049
GO:0016303	1-phosphatidylinositol-3-kinase activity	0	1	0	0.935849	1	161.5579049
GO:0019343	cysteine biosynthetic process via cystathionine	0	1	0	0.935849	1	161.5579049
GO:0016572	histone phosphorylation	0	1	0	0.935849	1	161.5579049
GO:0034227	tRNA thio-modification	0	1	0	0.935849	1	161.5579049
GO:0003934	GTP cyclohydrolase I activity	0	1	0	0.935849	1	161.5579049
GO:0006543	glutamine catabolic process	0	1	0	0.935849	1	161.5579049
GO:0042719	mitochondrial intermembrane space protein transporter complex	0	1	0	0.935849	1	161.5579049
GO:0016532	superoxide dismutase copper chaperone activity	0	1	0	0.935849	1	161.5579049
GO:0006177	GMP biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0007030	Golgi organization	0	1	0	0.935849	1	161.5579049
GO:0009346	citrate lyase complex	0	1	0	0.935849	1	161.5579049
GO:0008660	1-aminocyclopropane-1-carboxylate deaminase activity	0	1	0	0.935849	1	161.5579049
GO:0019856	pyrimidine nucleobase biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0006499	N-terminal protein myristoylation	0	1	0	0.935849	1	161.5579049
GO:0005835	fatty acid synthase complex	0	1	0	0.935849	1	161.5579049
GO:0030041	actin filament polymerization	0	1	0	0.935849	1	161.5579049
GO:0016591	"DNA-directed RNA polymerase II, holoenzyme"	0	1	0	0.935849	1	161.5579049
GO:0003952	NAD+ synthase (glutamine-hydrolyzing) activity	0	1	0	0.935849	1	161.5579049
GO:0030729	acetoacetate-CoA ligase activity	0	1	0	0.935849	1	161.5579049
GO:0008750	NAD(P)+ transhydrogenase (AB-specific) activity	0	1	0	0.935849	1	161.5579049
GO:0043332	mating projection tip	0	1	0	0.935849	1	161.5579049
GO:0051015	actin filament binding	0	1	0	0.935849	1	161.5579049
GO:0019427	acetyl-CoA biosynthetic process from acetate	0	1	0	0.935849	1	161.5579049
GO:0008495	protoheme IX farnesyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0033615	mitochondrial proton-transporting ATP synthase complex assembly	0	1	0	0.935849	1	161.5579049
GO:0004014	adenosylmethionine decarboxylase activity	0	1	0	0.935849	1	161.5579049
GO:0006556	S-adenosylmethionine biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0004375	glycine dehydrogenase (decarboxylating) activity	0	1	0	0.935849	1	161.5579049
GO:0004743	pyruvate kinase activity	0	1	0	0.935849	1	161.5579049
GO:0004107	chorismate synthase activity	0	1	0	0.935849	1	161.5579049
GO:0004149	dihydrolipoyllysine-residue succinyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0003868	4-hydroxyphenylpyruvate dioxygenase activity	0	1	0	0.935849	1	161.5579049
GO:0007023	post-chaperonin tubulin folding pathway	0	1	0	0.935849	1	161.5579049
GO:0045040	protein import into mitochondrial outer membrane	0	1	0	0.935849	1	161.5579049
GO:0000055	ribosomal large subunit export from nucleus	0	1	0	0.935849	1	161.5579049
GO:0046836	glycolipid transport	0	1	0	0.935849	1	161.5579049
GO:0005945	6-phosphofructokinase complex	0	1	0	0.935849	1	161.5579049
GO:0009452	7-methylguanosine RNA capping	0	1	0	0.935849	1	161.5579049
GO:0043140	ATP-dependent 3'-5' DNA helicase activity	0	1	0	0.935849	1	161.5579049
GO:0005780	extrinsic to intraperoxisomal membrane	0	1	0	0.935849	1	161.5579049
GO:0005053	peroxisome matrix targeting signal-2 binding	0	1	0	0.935849	1	161.5579049
GO:0019805	quinolinate biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0017172	cysteine dioxygenase activity	0	1	0	0.935849	1	161.5579049
GO:0006198	cAMP catabolic process	0	1	0	0.935849	1	161.5579049
GO:0046654	tetrahydrofolate biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0004366	glycerol-3-phosphate O-acyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0004368	glycerol-3-phosphate dehydrogenase activity	0	1	0	0.935849	1	161.5579049
GO:0030623	U5 snRNA binding	0	1	0	0.935849	1	161.5579049
GO:0006625	protein targeting to peroxisome	0	1	0	0.935849	1	161.5579049
GO:0048034	heme O biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0032008	positive regulation of TOR signaling cascade	0	1	0	0.935849	1	161.5579049
GO:0004150	dihydroneopterin aldolase activity	0	1	0	0.935849	1	161.5579049
GO:0009013	succinate-semialdehyde dehydrogenase [NAD(P)+] activity	0	1	0	0.935849	1	161.5579049
GO:0048280	vesicle fusion with Golgi apparatus	0	1	0	0.935849	1	161.5579049
GO:0000148	"1,3-beta-D-glucan synthase complex"	0	1	0	0.935849	1	161.5579049
GO:0016709	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen"	0	1	0	0.935849	1	161.5579049
GO:0006002	fructose 6-phosphate metabolic process	0	1	0	0.935849	1	161.5579049
GO:0006021	inositol biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0030688	"preribosome, small subunit precursor"	0	1	0	0.935849	1	161.5579049
GO:0019370	leukotriene biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0032301	MutSalpha complex	0	1	0	0.935849	1	161.5579049
GO:0071630	nucleus-associated proteasomal ubiquitin-dependent protein catabolic process	0	1	0	0.935849	1	161.5579049
GO:0033588	Elongator holoenzyme complex	0	1	0	0.935849	1	161.5579049
GO:0006183	GTP biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0006081	cellular aldehyde metabolic process	0	1	0	0.935849	1	161.5579049
GO:0045132	meiotic chromosome segregation	0	1	0	0.935849	1	161.5579049
GO:0015105	arsenite transmembrane transporter activity	0	1	0	0.935849	1	161.5579049
GO:0030286	dynein complex	0	1	0	0.935849	1	161.5579049
GO:0006915	apoptotic process	0	1	0	0.935849	1	161.5579049
GO:0031491	nucleosome binding	0	1	0	0.935849	1	161.5579049
GO:0004534	5'-3' exoribonuclease activity	0	1	0	0.935849	1	161.5579049
GO:0004335	galactokinase activity	0	1	0	0.935849	1	161.5579049
GO:0030418	nicotianamine biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0008535	respiratory chain complex IV assembly	0	1	0	0.935849	1	161.5579049
GO:0043189	H4/H2A histone acetyltransferase complex	0	1	0	0.935849	1	161.5579049
GO:0015930	glutamate synthase activity	0	1	0	0.935849	1	161.5579049
GO:0006231	dTMP biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0004114	"3',5'-cyclic-nucleotide phosphodiesterase activity"	0	1	0	0.935849	1	161.5579049
GO:0000244	assembly of spliceosomal tri-snRNP	0	1	0	0.935849	1	161.5579049
GO:0003884	D-amino-acid oxidase activity	0	1	0	0.935849	1	161.5579049
GO:0008926	mannitol-1-phosphate 5-dehydrogenase activity	0	1	0	0.935849	1	161.5579049
GO:0006562	proline catabolic process	0	1	0	0.935849	1	161.5579049
GO:0004615	phosphomannomutase activity	0	1	0	0.935849	1	161.5579049
GO:0031533	mRNA cap methyltransferase complex	0	1	0	0.935849	1	161.5579049
GO:0004401	histidinol-phosphatase activity	0	1	0	0.935849	1	161.5579049
GO:0005971	ribonucleoside-diphosphate reductase complex	0	1	0	0.935849	1	161.5579049
GO:0004605	phosphatidate cytidylyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0006166	purine ribonucleoside salvage	0	1	0	0.935849	1	161.5579049
GO:0019299	rhamnose metabolic process	0	1	0	0.935849	1	161.5579049
GO:0009310	amine catabolic process	0	1	0	0.935849	1	161.5579049
GO:0016903	"oxidoreductase activity, acting on the aldehyde or oxo group of donors"	0	1	0	0.935849	1	161.5579049
GO:0004643	phosphoribosylaminoimidazolecarboxamide formyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0042127	regulation of cell proliferation	0	1	0	0.935849	1	161.5579049
GO:0000154	rRNA modification	0	1	0	0.935849	1	161.5579049
GO:0004821	histidine-tRNA ligase activity	0	1	0	0.935849	1	161.5579049
GO:0004604	phosphoadenylyl-sulfate reductase (thioredoxin) activity	0	1	0	0.935849	1	161.5579049
GO:0004163	diphosphomevalonate decarboxylase activity	0	1	0	0.935849	1	161.5579049
GO:0002098	tRNA wobble uridine modification	0	1	0	0.935849	1	161.5579049
GO:0004555	"alpha,alpha-trehalase activity"	0	1	0	0.935849	1	161.5579049
GO:0032389	MutLalpha complex	0	1	0	0.935849	1	161.5579049
GO:0003950	NAD+ ADP-ribosyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0016429	tRNA (adenine-N1-)-methyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0019627	urea metabolic process	0	1	0	0.935849	1	161.5579049
GO:0004108	citrate (Si)-synthase activity	0	1	0	0.935849	1	161.5579049
GO:0030042	actin filament depolymerization	0	1	0	0.935849	1	161.5579049
GO:0006188	IMP biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0008942	nitrite reductase [NAD(P)H] activity	0	1	0	0.935849	1	161.5579049
GO:0019359	nicotinamide nucleotide biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0004169	dolichyl-phosphate-mannose-protein mannosyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0004333	fumarate hydratase activity	0	1	0	0.935849	1	161.5579049
GO:0044255	cellular lipid metabolic process	0	1	0	0.935849	1	161.5579049
GO:0019867	outer membrane	0	1	0	0.935849	1	161.5579049
GO:0005452	inorganic anion exchanger activity	0	1	0	0.935849	1	161.5579049
GO:0030791	arsenite methyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0004037	allantoicase activity	0	1	0	0.935849	1	161.5579049
GO:0005965	protein farnesyltransferase complex	0	1	0	0.935849	1	161.5579049
GO:0051090	regulation of sequence-specific DNA binding transcription factor activity	0	1	0	0.935849	1	161.5579049
GO:0008815	citrate (pro-3S)-lyase activity	0	1	0	0.935849	1	161.5579049
GO:0006369	termination of RNA polymerase II transcription	0	1	0	0.935849	1	161.5579049
GO:0004358	glutamate N-acetyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0006531	aspartate metabolic process	0	1	0	0.935849	1	161.5579049
GO:0071467	cellular response to pH	0	1	0	0.935849	1	161.5579049
GO:0046835	carbohydrate phosphorylation	0	1	0	0.935849	1	161.5579049
GO:0004106	chorismate mutase activity	0	1	0	0.935849	1	161.5579049
GO:0003964	RNA-directed DNA polymerase activity	0	1	0	0.935849	1	161.5579049
GO:0009152	purine ribonucleotide biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0003842	1-pyrroline-5-carboxylate dehydrogenase activity	0	1	0	0.935849	1	161.5579049
GO:0005763	mitochondrial small ribosomal subunit	0	1	0	0.935849	1	161.5579049
GO:0008176	tRNA (guanine-N7-)-methyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0032439	endosome localization	0	1	0	0.935849	1	161.5579049
GO:0005674	transcription factor TFIIF complex	0	1	0	0.935849	1	161.5579049
GO:0004160	dihydroxy-acid dehydratase activity	0	1	0	0.935849	1	161.5579049
GO:0010309	acireductone dioxygenase [iron(II)-requiring] activity	0	1	0	0.935849	1	161.5579049
GO:0097157	pre-mRNA intronic binding	0	1	0	0.935849	1	161.5579049
GO:0043874	acireductone synthase activity	0	1	0	0.935849	1	161.5579049
GO:0016992	lipoate synthase activity	0	1	0	0.935849	1	161.5579049
GO:0004611	phosphoenolpyruvate carboxykinase activity	0	1	0	0.935849	1	161.5579049
GO:0016433	rRNA (adenine) methyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0000334	"3-hydroxyanthranilate 3,4-dioxygenase activity"	0	1	0	0.935849	1	161.5579049
GO:0003938	IMP dehydrogenase activity	0	1	0	0.935849	1	161.5579049
GO:0033254	vacuolar transporter chaperone complex	0	1	0	0.935849	1	161.5579049
GO:0000184	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"	0	1	0	0.935849	1	161.5579049
GO:0009225	nucleotide-sugar metabolic process	0	1	0	0.935849	1	161.5579049
GO:0004612	phosphoenolpyruvate carboxykinase (ATP) activity	0	1	0	0.935849	1	161.5579049
GO:0005545	1-phosphatidylinositol binding	0	1	0	0.935849	1	161.5579049
GO:0004452	isopentenyl-diphosphate delta-isomerase activity	0	1	0	0.935849	1	161.5579049
GO:0004332	fructose-bisphosphate aldolase activity	0	1	0	0.935849	1	161.5579049
GO:0008295	spermidine biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0000096	sulfur amino acid metabolic process	0	1	0	0.935849	1	161.5579049
GO:0004146	dihydrofolate reductase activity	0	1	0	0.935849	1	161.5579049
GO:0007131	reciprocal meiotic recombination	0	1	0	0.935849	1	161.5579049
GO:0003857	3-hydroxyacyl-CoA dehydrogenase activity	0	1	0	0.935849	1	161.5579049
GO:0042773	ATP synthesis coupled electron transport	0	1	0	0.935849	1	161.5579049
GO:0004073	aspartate-semialdehyde dehydrogenase activity	0	1	0	0.935849	1	161.5579049
GO:0016428	tRNA (cytosine-5-)-methyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0042147	"retrograde transport, endosome to Golgi"	0	1	0	0.935849	1	161.5579049
GO:0004798	thymidylate kinase activity	0	1	0	0.935849	1	161.5579049
GO:0004663	Rab geranylgeranyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0004484	mRNA guanylyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0017136	NAD-dependent histone deacetylase activity	0	1	0	0.935849	1	161.5579049
GO:0046080	dUTP metabolic process	0	1	0	0.935849	1	161.5579049
GO:0004506	squalene monooxygenase activity	0	1	0	0.935849	1	161.5579049
GO:0019344	cysteine biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0005746	mitochondrial respiratory chain	0	1	0	0.935849	1	161.5579049
GO:0033699	DNA 5'-adenosine monophosphate hydrolase activity	0	1	0	0.935849	1	161.5579049
GO:0042256	mature ribosome assembly	0	1	0	0.935849	1	161.5579049
GO:0004424	imidazoleglycerol-phosphate dehydratase activity	0	1	0	0.935849	1	161.5579049
GO:0000790	nuclear chromatin	0	1	0	0.935849	1	161.5579049
GO:0042273	ribosomal large subunit biogenesis	0	1	0	0.935849	1	161.5579049
GO:0004400	histidinol-phosphate transaminase activity	0	1	0	0.935849	1	161.5579049
GO:0008703	5-amino-6-(5-phosphoribosylamino)uracil reductase activity	0	1	0	0.935849	1	161.5579049
GO:0004345	glucose-6-phosphate dehydrogenase activity	0	1	0	0.935849	1	161.5579049
GO:0008134	transcription factor binding	0	1	0	0.935849	1	161.5579049
GO:0006228	UTP biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0031122	cytoplasmic microtubule organization	0	1	0	0.935849	1	161.5579049
GO:0003866	3-phosphoshikimate 1-carboxyvinyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0043461	proton-transporting ATP synthase complex assembly	0	1	0	0.935849	1	161.5579049
GO:0019751	polyol metabolic process	0	1	0	0.935849	1	161.5579049
GO:0006909	phagocytosis	0	1	0	0.935849	1	161.5579049
GO:0004427	inorganic diphosphatase activity	0	1	0	0.935849	1	161.5579049
GO:0050113	inositol oxygenase activity	0	1	0	0.935849	1	161.5579049
GO:0043968	histone H2A acetylation	0	1	0	0.935849	1	161.5579049
GO:0004799	thymidylate synthase activity	0	1	0	0.935849	1	161.5579049
GO:0019478	D-amino acid catabolic process	0	1	0	0.935849	1	161.5579049
GO:0005655	nucleolar ribonuclease P complex	0	1	0	0.935849	1	161.5579049
GO:0004634	phosphopyruvate hydratase activity	0	1	0	0.935849	1	161.5579049
GO:0048208	COPII vesicle coating	0	1	0	0.935849	1	161.5579049
GO:0030122	AP-2 adaptor complex	0	1	0	0.935849	1	161.5579049
GO:0003949	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity	0	1	0	0.935849	1	161.5579049
GO:0045502	dynein binding	0	1	0	0.935849	1	161.5579049
GO:0004030	aldehyde dehydrogenase [NAD(P)+] activity	0	1	0	0.935849	1	161.5579049
GO:0006406	mRNA export from nucleus	0	1	0	0.935849	1	161.5579049
GO:0004056	argininosuccinate lyase activity	0	1	0	0.935849	1	161.5579049
GO:0004491	methylmalonate-semialdehyde dehydrogenase (acylating) activity	0	1	0	0.935849	1	161.5579049
GO:0017057	6-phosphogluconolactonase activity	0	1	0	0.935849	1	161.5579049
GO:0019209	kinase activator activity	0	1	0	0.935849	1	161.5579049
GO:0032302	MutSbeta complex	0	1	0	0.935849	1	161.5579049
GO:0016573	histone acetylation	0	1	0	0.935849	1	161.5579049
GO:0042823	pyridoxal phosphate biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0004641	phosphoribosylformylglycinamidine cyclo-ligase activity	0	1	0	0.935849	1	161.5579049
GO:0004334	fumarylacetoacetase activity	0	1	0	0.935849	1	161.5579049
GO:0004000	adenosine deaminase activity	0	1	0	0.935849	1	161.5579049
GO:0032786	"positive regulation of DNA-dependent transcription, elongation"	0	1	0	0.935849	1	161.5579049
GO:0045010	actin nucleation	0	1	0	0.935849	1	161.5579049
GO:0006566	threonine metabolic process	0	1	0	0.935849	1	161.5579049
GO:0031012	extracellular matrix	0	1	0	0.935849	1	161.5579049
GO:0005991	trehalose metabolic process	0	1	0	0.935849	1	161.5579049
GO:0004789	thiamine-phosphate diphosphorylase activity	0	1	0	0.935849	1	161.5579049
GO:0008124	4-alpha-hydroxytetrahydrobiopterin dehydratase activity	0	1	0	0.935849	1	161.5579049
GO:0045703	ketoreductase activity	0	1	0	0.935849	1	161.5579049
GO:0005875	microtubule associated complex	0	1	0	0.935849	1	161.5579049
GO:0006278	RNA-dependent DNA replication	0	1	0	0.935849	1	161.5579049
GO:0006596	polyamine biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0006097	glyoxylate cycle	0	1	0	0.935849	1	161.5579049
GO:0030242	peroxisome degradation	0	1	0	0.935849	1	161.5579049
GO:0009094	L-phenylalanine biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0004409	homoaconitate hydratase activity	0	1	0	0.935849	1	161.5579049
GO:0046857	"oxidoreductase activity, acting on other nitrogenous compounds as donors, with NAD or NADP as acceptor"	0	1	0	0.935849	1	161.5579049
GO:0007623	circadian rhythm	0	1	0	0.935849	1	161.5579049
GO:0005673	transcription factor TFIIE complex	0	1	0	0.935849	1	161.5579049
GO:0042026	protein refolding	0	1	0	0.935849	1	161.5579049
GO:0016462	pyrophosphatase activity	0	1	0	0.935849	1	161.5579049
GO:0070461	SAGA-type complex	0	1	0	0.935849	1	161.5579049
GO:0030515	snoRNA binding	0	1	0	0.935849	1	161.5579049
GO:0009411	response to UV	0	1	0	0.935849	1	161.5579049
GO:0009229	thiamine diphosphate biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0004412	homoserine dehydrogenase activity	0	1	0	0.935849	1	161.5579049
GO:0030272	5-formyltetrahydrofolate cyclo-ligase activity	0	1	0	0.935849	1	161.5579049
GO:0006102	isocitrate metabolic process	0	1	0	0.935849	1	161.5579049
GO:0043666	regulation of phosphoprotein phosphatase activity	0	1	0	0.935849	1	161.5579049
GO:0016973	poly(A)+ mRNA export from nucleus	0	1	0	0.935849	1	161.5579049
GO:0009448	gamma-aminobutyric acid metabolic process	0	1	0	0.935849	1	161.5579049
GO:0006147	guanine catabolic process	0	1	0	0.935849	1	161.5579049
GO:0005891	voltage-gated calcium channel complex	0	1	0	0.935849	1	161.5579049
GO:0000774	adenyl-nucleotide exchange factor activity	0	1	0	0.935849	1	161.5579049
GO:0000942	condensed nuclear chromosome outer kinetochore	0	1	0	0.935849	1	161.5579049
GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	0	1	0	0.935849	1	161.5579049
GO:0004724	magnesium-dependent protein serine/threonine phosphatase activity	0	1	0	0.935849	1	161.5579049
GO:0016586	RSC complex	0	1	0	0.935849	1	161.5579049
GO:0016274	protein-arginine N-methyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0016442	RISC complex	0	1	0	0.935849	1	161.5579049
GO:0004642	phosphoribosylformylglycinamidine synthase activity	0	1	0	0.935849	1	161.5579049
GO:0004001	adenosine kinase activity	0	1	0	0.935849	1	161.5579049
GO:0004121	cystathionine beta-lyase activity	0	1	0	0.935849	1	161.5579049
GO:0005993	trehalose catabolic process	0	1	0	0.935849	1	161.5579049
GO:0008603	cAMP-dependent protein kinase regulator activity	0	1	0	0.935849	1	161.5579049
GO:0043161	proteasomal ubiquitin-dependent protein catabolic process	0	1	0	0.935849	1	161.5579049
GO:0006760	folic acid-containing compound metabolic process	0	1	0	0.935849	1	161.5579049
GO:0046417	chorismate metabolic process	0	1	0	0.935849	1	161.5579049
GO:0006222	UMP biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0005319	lipid transporter activity	0	1	0	0.935849	1	161.5579049
GO:0008180	COP9 signalosome	0	1	0	0.935849	1	161.5579049
GO:0006014	D-ribose metabolic process	0	1	0	0.935849	1	161.5579049
GO:0030411	scytalone dehydratase activity	0	1	0	0.935849	1	161.5579049
GO:0045145	single-stranded DNA 5'-3' exodeoxyribonuclease activity	0	1	0	0.935849	1	161.5579049
GO:0015923	mannosidase activity	0	1	0	0.935849	1	161.5579049
GO:0003872	6-phosphofructokinase activity	0	1	0	0.935849	1	161.5579049
GO:0008649	rRNA methyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0004367	glycerol-3-phosphate dehydrogenase [NAD+] activity	0	1	0	0.935849	1	161.5579049
GO:0004379	glycylpeptide N-tetradecanoyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0008092	cytoskeletal protein binding	0	1	0	0.935849	1	161.5579049
GO:0019307	mannose biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0004430	1-phosphatidylinositol 4-kinase activity	0	1	0	0.935849	1	161.5579049
GO:0008144	drug binding	0	1	0	0.935849	1	161.5579049
GO:0001682	tRNA 5'-leader removal	0	1	0	0.935849	1	161.5579049
GO:0004655	porphobilinogen synthase activity	0	1	0	0.935849	1	161.5579049
GO:0005751	mitochondrial respiratory chain complex IV	0	1	0	0.935849	1	161.5579049
GO:0003844	"1,4-alpha-glucan branching enzyme activity"	0	1	0	0.935849	1	161.5579049
GO:0004848	ureidoglycolate hydrolase activity	0	1	0	0.935849	1	161.5579049
GO:0009143	nucleoside triphosphate catabolic process	0	1	0	0.935849	1	161.5579049
GO:0045033	peroxisome inheritance	0	1	0	0.935849	1	161.5579049
GO:0008097	5S rRNA binding	0	1	0	0.935849	1	161.5579049
GO:0046949	fatty-acyl-CoA biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0031429	box H/ACA snoRNP complex	0	1	0	0.935849	1	161.5579049
GO:0034450	ubiquitin-ubiquitin ligase activity	0	1	0	0.935849	1	161.5579049
GO:0005785	signal recognition particle receptor complex	0	1	0	0.935849	1	161.5579049
GO:0006952	defense response	0	1	0	0.935849	1	161.5579049
GO:0005849	mRNA cleavage factor complex	0	1	0	0.935849	1	161.5579049
GO:0043231	intracellular membrane-bounded organelle	0	1	0	0.935849	1	161.5579049
GO:0004174	electron-transferring-flavoprotein dehydrogenase activity	0	1	0	0.935849	1	161.5579049
GO:0006784	heme a biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0004420	hydroxymethylglutaryl-CoA reductase (NADPH) activity	0	1	0	0.935849	1	161.5579049
GO:0004363	glutathione synthase activity	0	1	0	0.935849	1	161.5579049
GO:0048193	Golgi vesicle transport	0	1	0	0.935849	1	161.5579049
GO:0016855	"racemase and epimerase activity, acting on amino acids and derivatives"	0	1	0	0.935849	1	161.5579049
GO:0006423	cysteinyl-tRNA aminoacylation	0	1	0	0.935849	1	161.5579049
GO:0006637	acyl-CoA metabolic process	0	1	0	0.935849	1	161.5579049
GO:0009088	threonine biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0004156	dihydropteroate synthase activity	0	1	0	0.935849	1	161.5579049
GO:0007096	regulation of exit from mitosis	0	1	0	0.935849	1	161.5579049
GO:0009349	riboflavin synthase complex	0	1	0	0.935849	1	161.5579049
GO:0004044	amidophosphoribosyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0005685	U1 snRNP	0	1	0	0.935849	1	161.5579049
GO:0015450	P-P-bond-hydrolysis-driven protein transmembrane transporter activity	0	1	0	0.935849	1	161.5579049
GO:0034701	tripeptidase activity	0	1	0	0.935849	1	161.5579049
GO:0008193	tRNA guanylyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0006171	cAMP biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0030497	fatty acid elongation	0	1	0	0.935849	1	161.5579049
GO:0015936	coenzyme A metabolic process	0	1	0	0.935849	1	161.5579049
GO:0004310	farnesyl-diphosphate farnesyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0006241	CTP biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0045181	"glutamate synthase activity, NAD(P)H as acceptor"	0	1	0	0.935849	1	161.5579049
GO:0051903	S-(hydroxymethyl)glutathione dehydrogenase activity	0	1	0	0.935849	1	161.5579049
GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA	0	1	0	0.935849	1	161.5579049
GO:0019722	calcium-mediated signaling	0	1	0	0.935849	1	161.5579049
GO:0018343	protein farnesylation	0	1	0	0.935849	1	161.5579049
GO:0000015	phosphopyruvate hydratase complex	0	1	0	0.935849	1	161.5579049
GO:0006426	glycyl-tRNA aminoacylation	0	1	0	0.935849	1	161.5579049
GO:0004104	cholinesterase activity	0	1	0	0.935849	1	161.5579049
GO:0051259	protein oligomerization	0	1	0	0.935849	1	161.5579049
GO:0006165	nucleoside diphosphate phosphorylation	0	1	0	0.935849	1	161.5579049
GO:0018208	peptidyl-proline modification	0	1	0	0.935849	1	161.5579049
GO:0009052	"pentose-phosphate shunt, non-oxidative branch"	0	1	0	0.935849	1	161.5579049
GO:0001919	regulation of receptor recycling	0	1	0	0.935849	1	161.5579049
GO:0019135	deoxyhypusine monooxygenase activity	0	1	0	0.935849	1	161.5579049
GO:0004482	mRNA (guanine-N7-)-methyltransferase activity	0	1	0	0.935849	1	161.5579049
GO:0000956	nuclear-transcribed mRNA catabolic process	0	1	0	0.935849	1	161.5579049
GO:0000107	imidazoleglycerol-phosphate synthase activity	0	1	0	0.935849	1	161.5579049
GO:0030870	Mre11 complex	0	1	0	0.935849	1	161.5579049
GO:0051260	protein homooligomerization	0	1	0	0.935849	1	161.5579049
GO:0004450	isocitrate dehydrogenase (NADP+) activity	0	1	0	0.935849	1	161.5579049
GO:0004342	glucosamine-6-phosphate deaminase activity	0	1	0	0.935849	1	161.5579049
GO:0004781	sulfate adenylyltransferase (ATP) activity	0	1	0	0.935849	1	161.5579049
GO:0004619	phosphoglycerate mutase activity	0	1	0	0.935849	1	161.5579049
GO:0045254	pyruvate dehydrogenase complex	0	1	0	0.935849	1	161.5579049
GO:0000220	"vacuolar proton-transporting V-type ATPase, V0 domain"	0	1	0	0.935849	1	161.5579049
GO:0004140	dephospho-CoA kinase activity	0	1	0	0.935849	1	161.5579049
GO:0009298	GDP-mannose biosynthetic process	0	1	0	0.935849	1	161.5579049
GO:0045252	oxoglutarate dehydrogenase complex	0	1	0	0.935849	1	161.5579049
GO:0006611	protein export from nucleus	0	1	0	0.935849	1	161.5579049
GO:0016708	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of two atoms of oxygen into one donor"	0	1	0	0.935849	1	161.5579049
